-356.969268 1128.968750 21.741973 0.000000 -35.438571 0.000000
-332.968750 932.968750 789.031250 0.000000 -23.768756 0.000000
-332.968750 747.031250 789.031250 0.000000 41.719711 0.000000
168.968734 -427.750976 5.031250 0.000000 159.445587 0.000000
135.044738 -504.968719 81.067123 0.000000 110.565986 0.000000
149.572631 -290.135803 5.031250 0.000000 86.033157 0.000000
432.968750 -248.968750 5.031250 0.000000 156.022857 0.000000
503.031250 -248.968750 5.031250 0.000000 17.452594 0.000000
855.031250 -504.968750 5.031250 0.000000 60.645133 0.000000
1360.968750 -231.166381 5.031250 0.000000 -179.721694 0.000000
1360.968750 -399.977539 5.031250 0.000000 161.403015 0.000000
733.134643 -35.031257 149.031250 0.000000 -176.647262 0.000000
769.513244 -40.968738 283.031250 0.000000 95.511032 0.000000
770.412658 471.163452 5.031250 0.000000 115.993469 0.000000
759.161682 669.954956 55.957294 0.000000 97.746543 0.000000
680.968750 984.968750 5.031250 0.000000 -150.550460 0.000000
638.385253 575.430847 5.031250 0.000000 100.374488 0.000000
1016.022583 1117.173339 5.031250 0.000000 -112.204978 0.000000
1221.266723 1128.968750 5.031250 0.000000 -93.296051 0.000000
1360.968750 1128.968750 5.031250 0.000000 -101.858955 0.000000
1709.870483 872.968750 5.031250 0.000000 -142.761337 0.000000
1783.031250 872.968750 5.031250 0.000000 -54.123279 0.000000
2112.803955 1128.968750 5.031250 0.000000 -30.288991 0.000000
2049.077880 1128.968750 82.138000 0.000000 -97.420860 0.000000
1535.031250 47.533874 5.031250 0.000000 -43.161876 0.000000
2548.968750 -308.968750 789.031250 0.000000 159.922409 0.000000
2548.121582 -123.031257 789.031250 0.000000 -141.028732 0.000000
2584.968750 -504.968750 5.031250 0.000000 161.746917 0.000000
1535.031250 -360.968750 5.031250 0.000000 30.044279 0.000000
1439.031250 164.968734 5.031250 0.000000 -36.852962 0.000000
1439.031250 -20.007572 48.660678 0.000000 -75.749267 0.000000
1016.184753 297.596343 5.031250 0.000000 174.715118 0.000000
1104.953735 447.674560 5.031250 0.000000 87.862663 0.000000
1203.016967 321.287994 5.031250 0.000000 17.476005 0.000000
2532.810791 -20.275047 5.031250 0.000000 -172.846633 0.000000 T
2486.810791 -20.275047 5.031250 0.000000 -172.846633 0.000000 T
2532.810791 -66.275047 5.031250 0.000000 -172.846633 0.000000 T
2578.810791 -20.275047 5.031250 0.000000 -172.846633 0.000000 T
2532.810791 25.724952 5.031250 0.000000 -172.846633 0.000000 T
2486.810791 -66.275047 5.031250 0.000000 -172.846633 0.000000 T
2486.810791 27.168821 5.031250 0.000000 104.168746 0.000000 T
2505.673828 82.441703 5.031250 0.000000 85.686332 0.000000 T
2508.741699 133.047271 5.031250 0.000000 75.445083 0.000000 T
2508.897705 208.645339 5.031250 0.000000 135.913604 0.000000 T
2491.780517 262.036163 21.031250 0.000000 84.704994 0.000000 T
2488.885253 314.685424 21.031250 0.000000 91.188186 0.000000 T
2487.644531 371.308715 21.031250 0.000000 89.096382 0.000000 T
2483.011718 425.638549 21.031250 0.000000 113.051399 0.000000 T
2465.158935 475.164306 5.031250 0.000000 122.443832 0.000000 T
2437.517578 521.164306 5.031250 0.000000 136.592636 0.000000 T
2391.517578 552.173645 5.031250 0.000000 137.047576 0.000000 T
2371.151611 598.173645 5.031250 0.000000 137.047576 0.000000 T
-67.916030 -35.740497 5.031250 0.000000 7.091610 0.000000 CT
-119.760917 -15.992104 5.031250 0.000000 7.091610 0.000000 CT
-176.867370 8.603490 5.031250 0.000000 7.195230 0.000000 CT
-224.504776 39.038108 5.031250 0.000000 2.816443 0.000000 CT
-266.034484 85.038108 5.031250 0.000000 -23.009347 0.000000 CT
-312.281066 77.116279 5.031250 0.000000 -26.171661 0.000000 CT
-358.281066 97.051216 5.031250 0.000000 -24.234718 0.000000 CT
-360.968750 143.051208 5.031250 0.000000 -20.512954 0.000000 CT
-360.968750 189.051208 5.031250 0.000000 -22.336065 0.000000 CT
-360.968750 235.051208 5.031250 0.000000 -24.621129 0.000000 CT
-314.968750 199.621307 5.031250 0.000000 -24.690210 0.000000 CT
-314.968750 245.621307 5.031250 0.000000 36.085109 0.000000 CT
-360.968750 446.747558 5.031250 0.000000 13.385628 0.000000 CT
-336.065673 503.796417 5.031250 0.000000 13.448064 0.000000 CT
-309.773590 715.418579 5.031250 0.000000 -5.010738 0.000000 CT
-263.773590 737.554687 5.031250 0.000000 -6.320607 0.000000 CT
-217.773574 743.482971 5.031250 0.000000 -8.010862 0.000000 CT
-242.447296 605.146545 5.031250 0.000000 -2.995047 0.000000 CT
